Ruta,Repartidor,Vehículo,orden_recomendado,orden_original,Clientes,ClienteID,Nombre,Dirección,Zona,horario_inicio,horario_fin,criterio_orden
DA0216,855203,11453855,1,2,Club Tennis Barcino,9100751000,Club Tennis Barcino,Plaça de Narcisa Freixas 2,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11453855,2,1,CLUB DE GOLF SANT CUGAT,9100047575,CLUB DE GOLF SANT CUGAT,Carrer de Villà 79,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11459995,1,3,CAFETERIA GAUDEIX,9100723139,CAFETERIA GAUDEIX,CALLE DEL CASAL 1,BIGUES I RIELLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11459995,2,1,BAR ZEMNU,9100751813,BAR ZEMNU,CARRETERA OLESA S/N,VILADECAVALLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11459995,3,2,Bar Restaurant Can Parlet,9100736228,Bar Restaurant Can Parlet,Carrer de la Canal 9,VILALLONGA DE TER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,1,11,B-VIKY,9100736227,B-VIKY,CALLE SANT JAUME 25,ARBÚCIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,2,10,BAR CASAL CAMPRODON,9100736411,BAR CASAL CAMPRODON,Plaça del Dr. Robert 1,CAMPRODON,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,3,1,DOLC I SALAT MATARO,9100474233,DOLC I SALAT MATARO,RONDA FRANCESC MACIA 18,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,4,9,Dolç i Salat Cuba,9100749745,Dolç i Salat Cuba,Calle Cuba 38,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,5,7,EL 9 LLAC,9100742665,EL 9 LLAC,CARRETERA N260 KM.118 KM 118,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,6,8,BAR PETIT,9100736244,BAR PETIT,Carrer de Sant Quinti 45,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,7,12,Hotel Solana Del Ter,9100736215,Hotel Solana Del Ter,C-17 17,RIPOLL,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,8,6,AIRE,9100756802,AIRE,Carrer de Falguera 6,SANT FELIU DE LLOBREGAT,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,9,5,ELS PAGESOS,9100736185,ELS PAGESOS,N-260 104,SANT JOAN DE LES ABADESSES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,10,4,HOSTAL CAL XIC,9100736229,HOSTAL CAL XIC,Carrer del Freixa 1,SANT PAU DE SEGÚRIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,11,2,Bar Gat Negre,9100737400,Bar Gat Negre,Avinguda de l'Abat Marcet 251,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11470448,12,3,FRANKFURT REITER,9100745929,FRANKFURT REITER,CALLE PINTOR HUGUET 62,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11474094,1,1,B-VIKY,9100736227,B-VIKY,CALLE SANT JAUME 25,ARBÚCIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11474094,2,3,EXTREMEÑOS BAR,9100544203,EXTREMEÑOS BAR,Carrer de Borrell 16,MOLLET DEL VALLES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11474094,3,2,DIR SANT CUGAT,9100661607,DIR SANT CUGAT,CARRETERA RUBI 76-78,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11474094,4,4,EL DEHESA,126089,EL DEHESA,Plaça Augusta 3,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480024,1,1,Club Tennis Barcino,9100751000,Club Tennis Barcino,Plaça de Narcisa Freixas 2,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,1,8,Somni d'estiu bar,9100736486,Somni d'estiu bar,Carrer d'Europa 1,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,2,9,Cafeteria Nova & Gent,9100736469,Cafeteria Nova & Gent,Carrer de Milà 22,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,3,7,Delight Coffee,9100736601,Delight Coffee,Avinguda de Catalunya 51,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,4,11,CAFETERIA GAUDEIX,9100723139,CAFETERIA GAUDEIX,CALLE DEL CASAL 1,BIGUES I RIELLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,5,13,PISCINAS LES CREMADES,9100565225,PISCINAS LES CREMADES,CALLE LAS CREMADES S/N,CALDES DE MONTBUI,07:30,10:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,6,10,Hotel Solana Del Ter,9100736215,Hotel Solana Del Ter,C-17 17,RIPOLL,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,7,5,BAR LA PENYA - 2,9100743595,BAR LA PENYA - 2,CARRER DE L'ANOIA 7,SANT QUIRZE DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,8,12,IBERICUS CENTRAL,9100687896,IBERICUS CENTRAL,CALLE PROVENÇA 200,TERRASSA,00:00,18:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,9,2,CASAL CIVIC TERRASSA,9100747490,CASAL CIVIC TERRASSA,Carrer de Wagner 2,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,10,3,FRANKFURT REITER,9100745929,FRANKFURT REITER,CALLE PINTOR HUGUET 62,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,11,4,BAR LA PENYA 1,9100743608,BAR LA PENYA 1,CARRETERA MONTCADA 148,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,12,6,FORN CAFETERIA AVENIDA,9100740458,FORN CAFETERIA AVENIDA,AVINGUDA D'ANGEL SALLENT 146,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11480484,13,1,BAR ZEMNU,9100751813,BAR ZEMNU,CARRETERA OLESA S/N,VILADECAVALLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,1,5,B-VIKY,9100736227,B-VIKY,CALLE SANT JAUME 25,ARBÚCIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,2,7,CAFETERIA GAUDEIX,9100723139,CAFETERIA GAUDEIX,CALLE DEL CASAL 1,BIGUES I RIELLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,3,2,BAR CASAL CAMPRODON,9100736411,BAR CASAL CAMPRODON,Plaça del Dr. Robert 1,CAMPRODON,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,4,1,Dolç i Salat Cuba,9100749745,Dolç i Salat Cuba,Calle Cuba 38,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,5,8,DOLC I SALAT MATARO,9100474233,DOLC I SALAT MATARO,RONDA FRANCESC MACIA 18,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,6,3,BAR PETIT,9100736244,BAR PETIT,Carrer de Sant Quinti 45,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,7,6,ELS PAGESOS,9100736185,ELS PAGESOS,N-260 104,SANT JOAN DE LES ABADESSES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11486819,8,4,HOSTAL CAL XIC,9100736229,HOSTAL CAL XIC,Carrer del Freixa 1,SANT PAU DE SEGÚRIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11490295,1,1,Iris café,9100747927,Iris café,Passeig de l'Ametlla 19,L'AMETLLA DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11490295,2,2,Bar Restaurant Can Parlet,9100736228,Bar Restaurant Can Parlet,Carrer de la Canal 9,VILALLONGA DE TER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11495007,1,1,CLUB PADEL MIR,9100761557,CLUB PADEL MIR,"CARRETERA BV-5001 KM 8,8",MONTCADA I REIXAC,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11495007,2,3,CLUB DE GOLF SANT CUGAT,9100047575,CLUB DE GOLF SANT CUGAT,Carrer de Villà 79,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11495007,3,2,AUTENTIK'S,9100736471,AUTENTIK'S,Carrer de Fructuós Gelabert 1,SANT JOAN DESPI,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11498148,1,1,412 COFFEE BEER,9100757467,412 COFFEE BEER,CARRETERA LA ROCA S/N,SANT FOST DE CAMPSENTELLE,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11498148,2,3,DELS CASTANYERS RESTAURANT,9100120687,DELS CASTANYERS RESTAURANT,CAMINO ELS CASTANYERS S/N,SANT FOST DE CAMPSENTELLES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11498148,3,2,AUTENTIK'S,9100736471,AUTENTIK'S,Carrer de Fructuós Gelabert 1,SANT JOAN DESPI,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11501685,1,1,Club Tennis Barcino,9100751000,Club Tennis Barcino,Plaça de Narcisa Freixas 2,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,1,11,Cafeteria Nova & Gent,9100736469,Cafeteria Nova & Gent,Carrer de Milà 22,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,2,8,CAL NASIET,9100742664,CAL NASIET,PLAZA ANSELM CLAVE 3,CAMPDEVÀNOL,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,3,12,BAR CASAL CAMPRODON,9100736411,BAR CASAL CAMPRODON,Plaça del Dr. Robert 1,CAMPRODON,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,4,13,EL DEHESA,126089,EL DEHESA,Plaça Augusta 3,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,5,7,BAR LA PENYA - 2,9100743595,BAR LA PENYA - 2,CARRER DE L'ANOIA 7,SANT QUIRZE DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,6,2,CASAL CIVIC TERRASSA,9100747490,CASAL CIVIC TERRASSA,Carrer de Wagner 2,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,7,3,Bar Troika,9100745932,Bar Troika,Carrer del Germà Joaquim 55,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,8,4,FRANKFURT REITER,9100745929,FRANKFURT REITER,CALLE PINTOR HUGUET 62,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,9,5,BAR LA PENYA 1,9100743608,BAR LA PENYA 1,CARRETERA MONTCADA 148,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,10,6,EL PUNT DE TROBADA,9100743597,EL PUNT DE TROBADA,CARRER COLOM 209,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,11,9,FORN CAFETERIA AVENIDA,9100740458,FORN CAFETERIA AVENIDA,AVINGUDA D'ANGEL SALLENT 146,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,12,10,Bar Gat Negre,9100737400,Bar Gat Negre,Avinguda de l'Abat Marcet 251,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11503402,13,1,BAR ZEMNU,9100751813,BAR ZEMNU,CARRETERA OLESA S/N,VILADECAVALLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11507889,1,2,B-VIKY,9100736227,B-VIKY,CALLE SANT JAUME 25,ARBÚCIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11507889,2,1,Dolç i Salat Cuba,9100749745,Dolç i Salat Cuba,Calle Cuba 38,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11507889,3,4,DOLC I SALAT MATARO,9100474233,DOLC I SALAT MATARO,RONDA FRANCESC MACIA 18,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11507889,4,3,BAR FLORIDA,9100736219,BAR FLORIDA,Carrer Lleida 7,SANT HILARI SACALM,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11510490,1,1,BAR PETIT,9100736244,BAR PETIT,Carrer de Sant Quinti 45,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11511047,1,1,ELS PAGESOS,9100736185,ELS PAGESOS,N-260 104,SANT JOAN DE LES ABADESSES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11511047,2,2,IBERICUS CENTRAL,9100687896,IBERICUS CENTRAL,CALLE PROVENÇA 200,TERRASSA,00:00,18:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11518176,1,4,DIR SANT CUGAT,9100661607,DIR SANT CUGAT,CARRETERA RUBI 76-78,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11518176,2,2,AUTENTIK’S CAMPO DE FUTBOL,9100736476,AUTENTIK’S CAMPO DE FUTBOL,Avinguda de Barcelona 64,SANT JOAN DESPI,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11518176,3,3,IBERICUS CENTRAL,9100687896,IBERICUS CENTRAL,CALLE PROVENÇA 200,TERRASSA,00:00,18:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11518176,4,1,Bar Gat Negre,9100737400,Bar Gat Negre,Avinguda de l'Abat Marcet 251,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,1,10,Cafeteria Nova & Gent,9100736469,Cafeteria Nova & Gent,Carrer de Milà 22,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,2,2,Club Tennis Barcino,9100751000,Club Tennis Barcino,Plaça de Narcisa Freixas 2,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,3,9,Delight Coffee,9100736601,Delight Coffee,Avinguda de Catalunya 51,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,4,12,PISCINAS LES CREMADES,9100565225,PISCINAS LES CREMADES,CALLE LAS CREMADES S/N,CALDES DE MONTBUI,07:30,10:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,5,11,DIR SANT CUGAT,9100661607,DIR SANT CUGAT,CARRETERA RUBI 76-78,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,6,13,EL DEHESA,126089,EL DEHESA,Plaça Augusta 3,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,7,14,AUTENTIK'S,9100736471,AUTENTIK'S,Carrer de Fructuós Gelabert 1,SANT JOAN DESPI,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,8,7,BAR LA PENYA - 2,9100743595,BAR LA PENYA - 2,CARRER DE L'ANOIA 7,SANT QUIRZE DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,9,3,CASAL CIVIC TERRASSA,9100747490,CASAL CIVIC TERRASSA,Carrer de Wagner 2,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,10,4,Bar Troika,9100745932,Bar Troika,Carrer del Germà Joaquim 55,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,11,5,FRANKFURT REITER,9100745929,FRANKFURT REITER,CALLE PINTOR HUGUET 62,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,12,6,BAR LA PENYA 1,9100743608,BAR LA PENYA 1,CARRETERA MONTCADA 148,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,13,8,FORN CAFETERIA AVENIDA,9100740458,FORN CAFETERIA AVENIDA,AVINGUDA D'ANGEL SALLENT 146,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11523911,14,1,BAR ZEMNU,9100751813,BAR ZEMNU,CARRETERA OLESA S/N,VILADECAVALLS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,1,2,BAR CASAL CAMPRODON,9100736411,BAR CASAL CAMPRODON,Plaça del Dr. Robert 1,CAMPRODON,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,2,1,Dolç i Salat Cuba,9100749745,Dolç i Salat Cuba,Calle Cuba 38,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,3,10,DOLC I SALAT MATARO,9100474233,DOLC I SALAT MATARO,RONDA FRANCESC MACIA 18,MATARÓ,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,4,3,BAR PETIT,9100736244,BAR PETIT,Carrer de Sant Quinti 45,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,5,6,CA L'ANNA,9100736220,CA L'ANNA,PLAZA CONSTITUCIO S/N,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,6,8,HOTEL RESGUARD DELS VENTS,9100736213,HOTEL RESGUARD DELS VENTS,CARRETERA GIV-5262 S/N,RIBES DE FRESER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,7,7,Hotel Solana Del Ter,9100736215,Hotel Solana Del Ter,C-17 17,RIPOLL,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,8,9,ELS PAGESOS,9100736185,ELS PAGESOS,N-260 104,SANT JOAN DE LES ABADESSES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,9,4,HOSTAL CAL XIC,9100736229,HOSTAL CAL XIC,Carrer del Freixa 1,SANT PAU DE SEGÚRIES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11529283,10,5,Bar Restaurant Can Parlet,9100736228,Bar Restaurant Can Parlet,Carrer de la Canal 9,VILALLONGA DE TER,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11534281,1,1,DELS CASTANYERS RESTAURANT,9100120687,DELS CASTANYERS RESTAURANT,CAMINO ELS CASTANYERS S/N,SANT FOST DE CAMPSENTELLES,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11540151,1,1,HOTEL STOP,9100764653,HOTEL STOP,N-2 494,BELLPUIG,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11541530,1,2,IBERICUS CENTRAL,9100687896,IBERICUS CENTRAL,CALLE PROVENÇA 200,TERRASSA,00:00,18:00,zona -> horario_inicio -> orden_actual
DA0216,855203,11541530,2,1,Bar Gat Negre,9100737400,Bar Gat Negre,Avinguda de l'Abat Marcet 251,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11541530,3,3,VALERO VALLES,9100527972,VALERO VALLES,CALLE FRANÇA 16,TERRASSA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11546811,1,3,Somni d'estiu bar,9100736486,Somni d'estiu bar,Carrer d'Europa 1,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11546811,2,14,Cafeteria Nova & Gent,9100736469,Cafeteria Nova & Gent,Carrer de Milà 22,BADALONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11546811,3,12,Delight Coffee,9100736601,Delight Coffee,Avinguda de Catalunya 51,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11546811,4,13,Club Tennis Barcino,9100751000,Club Tennis Barcino,Plaça de Narcisa Freixas 2,BARCELONA,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11546811,5,11,EL DEHESA,126089,EL DEHESA,Plaça Augusta 3,SANT CUGAT DEL VALLÈS,,,zona -> horario_inicio -> orden_actual
DA0216,855203,11546811,6,10,DELS CASTANYERS RESTAURANT,9100120687,DELS CASTANYERS RESTAURANT,CAMINO ELS CASTANYERS S/N,SANT FOST DE CAMPSENTELLES,,,zona -> horario_inicio -> orden_actual
