Producto,Tipo,Volumen,Peso,Retornable,familia_inferida,categoria_logistica,zona_recomendada,prioridad_acceso,requiere_lateral,fragil,pesado,apilable,retorno_dinamico,orden_carga_recomendado,regla_aplicada
0AM0004,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0005,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0006,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0007,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0009,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0012,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0018,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0019,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0020,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0021,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0022,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0023,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0024,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0027,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0028,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0029,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0033,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0036,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0037,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0040,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0041,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0042,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0043,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0045,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0047,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0049,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0050,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0053,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0054,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0055,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0057,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0060,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0064,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0065,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0067,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0068,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0069,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0070,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0072,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0074,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0076,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0077,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0081,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0082,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0086,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0087,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0088,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0089,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0090,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0091,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0092,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0098,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0099,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0100,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0101,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0103,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0125,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0131,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0138,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0139,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0145,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0146,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0147,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0149,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0151,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0152,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0154,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0155,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0157,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0158,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0160,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0161,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0164,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0165,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0167,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0168,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0169,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0171,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0172,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0174,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0175,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0180,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0183,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0184,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0187,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0188,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0189,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0191,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0202,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0212,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0213,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0227,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0229,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0230,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0231,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0232,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0233,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0234,CAJ,ZCG,,No,Alimentación,Caja horeca secundaria,Zona secundaria / flexible,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Caja no crítica horeca => zona secundaria flexible
0AM0237,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0238,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0240,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0242,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0248,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0249,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0250,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0251,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0263,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0264,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0272,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
0AM0282,UN,ZCG,,No,Alimentación,Unidad horeca secundaria,Zona secundaria / cubeta pequeña,Baja,No,No,No,Sí,No,Carga flexible según cliente/ruta,Tipo UN + categoría horeca => unidad pequeña secundaria
